median_error,mean_error,p95_error,scale,offset_minutes,n
3106.490205,3076.2896712499996,3333.275951,0.001,-90,52
3106.49086,3088.326160833333,3339.295455,0.001,-720,48
3106.493015,3081.7875998039217,3336.7368875,0.001,-570,51
3106.49327,3095.0909580392154,3336.7352849999997,0.001,-600,51
3106.5020000000004,3076.2893010576927,3333.27219675,0.001,-30,52
3106.50709,3076.2899393269236,3333.279534,0.001,-60,52
3119.21435,3082.0531146739136,3333.8028600000002,0.001,150,46
3119.2224725,3091.6183604166667,3339.293376,0.001,-690,48
27550.6665,27660.572785714285,30230.594399999994,10.0,540,42
27557.755999999998,27612.154153846157,30134.5682,10.0,480,39
27594.841499999995,27653.9347,30295.725850000003,10.0,450,40
27677.456,27702.031634146348,30271.432999999997,10.0,510,41
27680.254500000003,27585.809704545452,30174.16215,10.0,330,44
27695.436499999996,27753.245865384615,30216.186349999996,10.0,-540,52
27733.356,27803.68539215687,30190.6645,10.0,-660,51
27790.106000000003,27668.555446808514,30188.2465,10.0,30,47
27812.869,27763.917079999996,30144.635799999996,10.0,0,50
27815.555999999997,27747.779854545453,30205.413,10.0,-360,55
27818.055999999997,27852.12593877551,30301.691799999997,10.0,-630,49
27846.482,27667.322711111105,30220.5688,10.0,390,45
27846.781999999996,27648.342111111113,30182.816200000005,10.0,360,45
27852.782000000003,27724.221465116287,30212.186500000003,10.0,420,43
27862.406,27749.509854545453,30200.385899999997,10.0,-330,55
27870.305999999997,27759.16803636364,30207.772999999997,10.0,-390,55
27883.706,27759.698036363636,30232.837999999996,10.0,-420,55
27893.656,27766.701672727268,30259.6459,10.0,-450,55
27900.256,27795.59690196078,30226.031499999997,10.0,-570,51
27921.806,27872.385791666664,30286.645999999997,10.0,-720,48
27937.006,27808.033750000002,30144.788400000005,10.0,60,48
27937.508500000004,27798.76615384616,30220.835900000002,10.0,-30,52
27943.606,27753.59894545455,30166.190899999994,10.0,-300,55
27949.894,27715.46380434783,30200.066749999998,10.0,300,46
27958.856000000003,27757.082581818184,30227.630900000004,10.0,-480,55
27967.382,27772.11674468085,30285.7332,10.0,240,47
27969.055999999997,27761.460361702124,30236.986499999995,10.0,270,47
27984.956,27773.06520833333,30195.803400000004,10.0,90,48
27989.455999999995,27789.558,30123.88855,10.0,-270,54
27990.156000000003,27752.693490909085,30085.187,10.0,-180,55
27990.470500000003,27787.902555555556,30262.978549999996,10.0,-510,54
27990.555999999997,27772.300763636365,30093.626999999997,10.0,-210,55
27997.6585,27792.383461538462,30109.2699,10.0,-60,52
28001.755999999998,27818.512173076924,30114.6165,10.0,-240,52
28004.8085,27800.576891304347,30228.866749999997,10.0,210,46
28022.78,27771.334439024387,30363.683000000005,10.0,600,41
28022.880000000005,27786.750926829274,30166.483,10.0,630,41
28024.08,27774.96127906976,30116.687100000003,10.0,660,43
28026.870499999997,27795.06423076923,30097.0896,10.0,-90,52
28028.806,27924.579313725495,30242.0565,10.0,-600,51
28035.635000000002,27837.154711111107,30231.317000000003,10.0,180,45
28046.119,27775.606538461536,30090.227099999996,10.0,-120,52
28052.435,27834.9285106383,30224.943199999998,10.0,120,47
28055.7705,27768.92769230769,30050.715149999996,10.0,-150,52
28078.4825,27869.57423913043,30258.714,10.0,150,46
28088.206000000002,27823.301071428567,30318.1295,10.0,570,42
28101.8705,27899.386395833328,30300.402350000004,10.0,-690,48
28123.806,27875.28604878049,30115.911999999997,10.0,690,41
28148.906000000003,27877.433073170734,30162.833000000006,10.0,720,41
303175.66650000005,304208.84421428567,331929.03395,100.0,540,42
303563.90599999996,303670.30799999996,330875.9132,100.0,480,39
303617.41650000005,304120.9297,332623.27585,100.0,450,40
304326.07950000005,303376.3278863636,331441.06215,100.0,330,44
304642.0865,305254.88432692306,332214.98884999997,100.0,-540,52
304760.906,304654.9706585366,332333.483,100.0,510,41
305319.906,305799.3824509804,332437.66449999996,100.0,-660,51
305887.406,304246.8756595744,331566.6565,100.0,30,47
305969.569,305302.74007999996,331204.2433,100.0,0,50
306141.906,305218.2462181818,332113.48589999997,100.0,-360,55
